platform;repo_id;grids;topics;repo_last_commit_date;month;authors_count
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2021-03;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2021-04;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2021-05;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2021-06;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2022-01;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2022-02;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2022-03;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2022-05;1
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2015-04;2
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2015-05;2
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2015-06;4
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2015-07;2
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2015-08;3
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2015-09;2
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2015-10;1
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2015-12;2
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2016-02;2
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2016-03;3
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2016-04;2
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2016-08;2
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2016-12;1
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2017-01;2
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2017-02;1
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2017-03;3
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2017-09;2
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2017-10;4
github;behave/behave-django;testing,bdd;bdd, behave, django, testing;2022-04-05T21:10:51:000;2017-11;2
